ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
9034,Amanda Ray Beard (-Brown),F,22.0,173.0,59.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Breaststroke,Gold
10136,Lindsay Dianne Benko (-Mintenko),F,27.0,185.0,74.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
15001,Derrick Keith Brew,M,26.0,185.0,81.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
23426,Natalie Anne Coughlin (-Hall),F,21.0,173.0,63.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
23426,Natalie Anne Coughlin (-Hall),F,21.0,173.0,63.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Backstroke,Gold
23723,Shawn Crawford,M,26.0,181.0,86.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,Gold
23868,Ian Lowell Crocker,M,21.0,193.0,86.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
32517,"Matthew D. ""Matt"" Emmons",M,23.0,175.0,84.0,United States,USA,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
38353,Mark Daniel Gangloff,M,22.0,183.0,84.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
39035,Justin Alexander Gatlin,M,22.0,186.0,80.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,Gold
41113,Scott Daniel Goldblatt,M,25.0,187.0,77.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
45039,"Gary Wayne Hall, Jr.",M,29.0,198.0,99.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,Gold
45312,Paul Elbert Hamm,M,21.0,165.0,62.0,United States,USA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,Gold
45684,Brendan Joseph Hansen,M,22.0,183.0,85.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
46180,"Otis Harris, Jr.",M,22.0,185.0,83.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
46845,Joanna Dove Hayes,F,27.0,167.0,58.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres Hurdles,Gold
47582,Monique Marie Henderson,F,21.0,170.0,54.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
47641,Monique Hennagan,F,28.0,173.0,57.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
54171,"Rhiannon ""Rhi"" Jeffrey",F,17.0,182.0,76.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
57357,Chris Kappler,M,37.0,190.0,72.0,United States,USA,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
58521,Klete D. Keller,M,22.0,198.0,97.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
58954,"Daniel ""Dan"" Ketchum",M,22.0,193.0,95.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
62330,Rachel Komisarz,F,27.0,172.0,65.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
